,0
0,1810010H24Rik
1,2010005H15Rik
2,A2m
3,Adam10
4,Adam11
5,Adam12
6,Adam15
7,Adam17
8,Adam19
9,Adam1a
10,Adam1b
11,Adam21
12,Adam22
13,Adam23
14,Adam28
15,Adam3
16,Adam30
17,Adam32
18,Adam33
19,Adam4
20,Adam5
21,Adam8
22,Adam9
23,Adamdec1
24,Adamts1
25,Adamts10
26,Adamts12
27,Adamts13
28,Adamts14
29,Adamts15
30,Adamts16
31,Adamts17
32,Adamts18
33,Adamts19
34,Adamts2
35,Adamts20
36,Adamts3
37,Adamts4
38,Adamts5
39,Adamts6
40,Adamts7
41,Adamts8
42,Adamts9
43,Adamtsl1
44,Adamtsl2
45,Adamtsl3
46,Adamtsl4
47,Adamtsl5
48,Agt
49,AI182371
50,Ambp
51,Astl
52,BC100530
53,BC117090
54,Bmp1
55,Cd109
56,Cela1
57,Cela3b
58,Cpn2
59,Cst13
60,Cst3
61,Cst6
62,Cst7
63,Cst9
64,Csta1
65,Cstb
66,Ctsa
67,Ctsb
68,Ctsc
69,Ctsd
70,Ctse
71,Ctsf
72,Ctsg
73,Ctsh
74,Ctsk
75,Ctsl
76,Ctso
77,Ctss
78,Ctsw
79,Ctsz
80,Egln1
81,Egln2
82,Egln3
83,Elane
84,F10
85,F12
86,F13a1
87,F2
88,F7
89,F9
90,Gm4787
91,Gm5416
92,Habp2
93,Hpse
94,Hpse2
95,Htra1
96,Htra3
97,Htra4
98,Hyal1
99,Hyal2
100,Hyal3
101,Hyal4
102,Itih1
103,Itih2
104,Itih3
105,Itih4
106,Itih5
107,Kazald1
108,Kng2
109,Ky
110,Lox
111,Loxl1
112,Loxl2
113,Loxl3
114,Loxl4
115,Masp1
116,Masp2
117,Mep1a
118,Mmp10
119,Mmp11
120,Mmp12
121,Mmp13
122,Mmp14
123,Mmp15
124,Mmp16
125,Mmp17
126,Mmp19
127,Mmp2
128,Mmp20
129,Mmp23
130,Mmp24
131,Mmp25
132,Mmp27
133,Mmp28
134,Mmp3
135,Mmp7
136,Mmp8
137,Mmp9
138,Ngly1
139,Ogfod1
140,Ogfod2
141,P4ha1
142,P4ha2
143,P4ha3
144,P4htm
145,Pamr1
146,Pappa
147,Pappa2
148,Pcsk5
149,Pcsk6
150,Plat
151,Plau
152,Plg
153,Plod1
154,Plod2
155,Plod3
156,Prss12
157,Prss2
158,Serpina10
159,Serpina11
160,Serpina12
161,Serpina1a
162,Serpina1b
163,Serpina1d
164,Serpina1e
165,Serpina3b
166,Serpina3c
167,Serpina3f
168,Serpina3g
169,Serpina3m
170,Serpina3n
171,Serpina5
172,Serpina6
173,Serpina9
174,Serpinb10
175,Serpinb11
176,Serpinb12
177,Serpinb13
178,Serpinb1a
179,Serpinb1b
180,Serpinb1c
181,Serpinb2
182,Serpinb3a
183,Serpinb3b
184,Serpinb3c
185,Serpinb5
186,Serpinb6a
187,Serpinb6b
188,Serpinb6c
189,Serpinb6d
190,Serpinb7
191,Serpinb8
192,Serpinb9
193,Serpinb9b
194,Serpinc1
195,Serpind1
196,Serpine1
197,Serpine2
198,Serpine3
199,Serpinf1
200,Serpinf2
201,Serping1
202,Serpinh1
203,Serpini1
204,Slpi
205,St14
206,Stfa1
207,Stfa2
208,Stfa2l1
209,Stfa3
210,Sulf1
211,Sulf2
212,Tgm1
213,Tgm2
214,Tgm3
215,Tgm4
216,Tgm5
217,Tgm6
218,Tgm7
219,Timp1
220,Timp2
221,Timp3
222,Timp4
223,Tll1
224,Try4
225,Fam20a
226,Fam20b
227,Fam20c
