,0
0,Lama1
1,Thbs4
2,Vwa2
3,Colq
4,Omd
5,Edil3
6,Col22a1
7,Col6a3
8,Ntng2
9,Vcan
10,Thbs2
11,Papln
12,Sspo
13,Col1a2
14,Matn4
15,Col26a1
16,Lgi3
17,Spon1
18,Ibsp
19,Lgi2
20,Vwa5b2
21,Sbspon
22,Sparcl1
23,Vwa5b1
24,Sparc
25,Lamb2
26,Creld2
27,Col6a6
28,Col7a1
29,Chadl
30,Fmod
31,Hmcn2
32,Smoc2
33,Spp1
34,Emilin1
35,Mfap4
36,Dpt
37,Zp2
38,Igfbp1
39,Vwa3a
40,Col13a1
41,Tinagl1
42,Otogl
43,5430419D17Rik
44,Col6a4
45,Vwa7
46,Fgl2
47,AW551984
48,Fbn2
49,Hspg2
50,Nyx
51,Acan
52,Emid1
53,Nell2
54,Nid1
55,Efemp2
56,Hapln4
57,Bcan
58,Nid2
59,Ecm2
60,Mfap1a
61,Ltbp1
62,Ntn5
63,Crispld2
64,Vwa5a
65,Vwde
66,Wisp2
67,Col5a1
68,Nepn
69,Igsf10
70,Emilin3
71,Eln
72,Lgi4
73,Rspo3
74,Zp1
75,Bgn
76,Kera
77,Vwa1
78,Thbs3
79,Optc
80,Col16a1
81,Rspo2
82,Igfbp6
83,Srpx
84,Col4a4
85,Col5a3
86,Col19a1
87,Crim1
88,Tecta
89,Bglap3
90,Kcp
91,Col8a2
92,Dmp1
93,Fras1
94,Wisp1
95,Abi3bp
96,Esm1
97,Agrn
98,Gldn
99,Col9a3
100,Epyc
101,Igfbp7
102,Hapln2
103,Ncan
104,Ntn1
105,Mfap1b
106,Fgl1
107,Lamc2
108,Lgi1
109,Tspear
110,Tinag
111,Hapln1
112,Col24a1
113,Ltbp4
114,Sned1
115,Rspo4
116,Podn
117,Thsd4
118,Fn1
119,Nov
120,Comp
121,Slit3
122,Lamb3
123,Cilp2
124,Fbln7
125,Vwa3b
126,Lamc1
127,Col8a1
128,Pxdn
129,Vwf
130,Col23a1
131,Coch
132,Ctgf
133,Igfbp5
134,Creld1
135,Col6a2
136,Vwce
137,Col1a1
138,Lama3
139,Pcolce
140,Mfap5
141,Col15a1
142,Nell1
143,Prg2
144,Igfbpl1
145,Hapln3
146,Col6a5
147,Prg4
148,Spon2
149,Col14a1
150,Podnl1
151,Igfbp3
152,Slit2
153,Tnr
154,Col9a2
155,Col9a1
156,Egfem1
157,Col27a1
158,Tnxb
159,Pcolce2
160,Ltbp3
161,Npnt
162,Vit
163,Mfge8
164,Svep1
165,Emilin2
166,Fndc7
167,Ltbp2
168,Matn2
169,Fndc1
170,Mfap3
171,Zpld1
172,Impg2
173,Col18a1
174,Col3a1
175,Ogn
176,Hmcn1
177,Mfap2
178,Spock3
179,Fbln1
180,Col20a1
181,Tnc
182,Lamb1
183,Egflam
184,Col4a6
185,Col10a1
186,Crispld1
187,Mgp
188,Tnn
189,Mmrn2
190,Adipoq
191,Cyr61
192,Rspo1
193,Spock2
