,0
0,Adgre5
1,Adipoq
2,Adm
3,Agt
4,Alcam
5,Amh
6,Angpt1
7,Angpt2
8,Angptl1
9,Angptl2
10,Angptl3
11,Angptl4
12,Angptl7
13,Anxa1
14,Apela
15,Apln
16,App
17,Areg
18,Artn
19,Avp
20,Bag6
21,Bdnf
22,Bmp15
23,Bmp2
24,Bmp4
25,Bmp5
26,Bmp6
27,Bmp7
28,Bmp8a
29,Bst2
30,Btc
31,Btla
32,C3
33,C4b
34,Cadm1
35,Cadm3
36,Calca
37,Calcb
38,Cck
39,Ccl1
40,Ccl11
41,Ccl12
42,Ccl17
43,Ccl19
44,Ccl2
45,Ccl20
46,Ccl21a
47,Ccl21c
48,Ccl22
49,Ccl24
50,Ccl25
51,Ccl27a
52,Ccl27b
53,Ccl28
54,Ccl3
55,Ccl4
56,Ccl5
57,Ccl6
58,Ccl7
59,Ccl8
60,Ccl9
61,Cd1d1
62,Cd1d2
63,Cd200
64,Cd209a
65,Cd22
66,Cd226
67,Cd274
68,Cd34
69,Cd40lg
70,Cd46
71,Cd48
72,Cd52
73,Cd6
74,Cd70
75,Cd80
76,Cd86
77,Cd8a
78,Cd96
79,Cdh1
80,Cdh15
81,Cdh2
82,Cdh4
83,Cdh5
84,Ceacam1
85,Clcf1
86,Cldn11
87,Clec2d
88,Clec2g
89,Clec2i
90,Cntn1
91,Cntn2
92,Cort
93,Csf1
94,Csf2
95,Csf3
96,Cspg4
97,Ctf1
98,Ctsg
99,Cx3cl1
100,Cxcl1
101,Cxcl10
102,Cxcl12
103,Cxcl13
104,Cxcl16
105,Cxcl2
106,Cxcl3
107,Cxcl5
108,Cxcl9
109,Dhh
110,Dlk1
111,Dll1
112,Dll3
113,Dll4
114,Dsc1
115,Dsc2
116,Dsg1c
117,Dsg2
118,Eda
119,Edn1
120,Edn2
121,Edn3
122,Efna1
123,Efna2
124,Efna3
125,Efna4
126,Efna5
127,Efnb1
128,Efnb2
129,Efnb3
130,Egf
131,Enho
132,Entpd1
133,Epgn
134,Ereg
135,Esam
136,F11r
137,F2
138,Fasl
139,Fcer2a
140,Fgf1
141,Fgf10
142,Fgf15
143,Fgf16
144,Fgf17
145,Fgf18
146,Fgf2
147,Fgf20
148,Fgf21
149,Fgf22
150,Fgf23
151,Fgf3
152,Fgf4
153,Fgf5
154,Fgf7
155,Fgf8
156,Fgf9
157,Flt3l
158,Gal
159,Gas6
160,Gcg
161,Gdf10
162,Gdf11
163,Gdf15
164,Gdf3
165,Gdf5
166,Gdf6
167,Gdf9
168,Gdnf
169,Gh
170,Ghrh
171,Ghrl
172,Gm11127
173,Gm8909
174,Gnrh1
175,Grn
176,Grp
177,Guca2a
178,Guca2b
179,Gzma
180,H2-Aa
181,H2-Ab1
182,H2-D1
183,H2-DMa
184,H2-DMb1
185,H2-DMb2
186,H2-Eb1
187,H2-K1
188,H2-M11
189,H2-M2
190,H2-M3
191,H2-M5
192,H2-M9
193,H2-Oa
194,H2-Ob
195,H2-Q1
196,H2-Q10
197,H2-Q2
198,H2-Q4
199,H2-Q6
200,H2-Q7
201,H2-T22
202,H2-T23
203,H2-T24
204,H2-T3
205,Hbegf
206,Hc
207,Hcrt
208,Hgf
209,Iapp
210,Icam1
211,Icam2
212,Icam5
213,Icosl
214,Ifnab
215,Ifnb1
216,Ifne
217,Ifng
218,Ifnk
219,Ifnl2
220,Ifnl3
221,Igf1
222,Igf2
223,Igfl3
224,Ihh
225,Il10
226,Il11
227,Il13
228,Il15
229,Il16
230,Il17a
231,Il17b
232,Il17f
233,Il18
234,Il19
235,Il1a
236,Il1b
237,Il1f10
238,Il1f5
239,Il1f6
240,Il1f8
241,Il1f9
242,Il2
243,Il20
244,Il22
245,Il24
246,Il25
247,Il31
248,Il33
249,Il34
250,Il4
251,Il5
252,Il6
253,Il7
254,Inhba
255,Inhbb
256,Inhbe
257,Ins1
258,Ins2
259,Insl5
260,Jag1
261,Jag2
262,Jam2
263,Jam3
264,Kitl
265,Kng2
266,L1cam
267,Lair1
268,Lck
269,Lgals9
270,Lhb
271,Lif
272,Lrrc4
273,Lrrc4b
274,Lrrc4c
275,Lta
276,Madcam1
277,Mag
278,Mdk
279,Mif
280,Mpz
281,Mpzl1
282,Mstn
283,Nampt
284,Ncam1
285,Ncam2
286,Nectin1
287,Nectin2
288,Nectin3
289,Negr1
290,Nfasc
291,Ngf
292,Nmb
293,Nmu
294,Npb
295,Npff
296,Nppb
297,Nppc
298,Nps
299,Npvf
300,Npw
301,Npy
302,Nrg1
303,Nrg2
304,Nrg3
305,Nrg4
306,Nrtn
307,Nrxn1
308,Nrxn2
309,Nrxn3
310,Ntf3
311,Ntf5
312,Nts
313,Ocln
314,Osm
315,Ostn
316,Oxt
317,Pdcd1lg2
318,Pdgfa
319,Pdgfb
320,Pdgfc
321,Pdgfd
322,Pecam1
323,Penk
324,Pf4
325,Pgf
326,Plg
327,Pmch
328,Pomc
329,Postn
330,Ppbp
331,Ppy
332,Prlh
333,Prok1
334,Prok2
335,Pros1
336,Prss2
337,Psap
338,Pspn
339,Pth2
340,Pthlh
341,Ptn
342,Ptprc
343,Ptprm
344,Pvr
345,Pyy
346,Qrfp
347,Rarres2
348,Retn
349,Rln1
350,Rln3
351,Saa2
352,Sct
353,Sele
354,Sell
355,Selplg
356,Sema3a
357,Sema3b
358,Sema3c
359,Sema3d
360,Sema3e
361,Sema3f
362,Sema3g
363,Sema4a
364,Sema4c
365,Sema4d
366,Sema4g
367,Sema5a
368,Sema5b
369,Sema6a
370,Sema6b
371,Sema6d
372,Sema7a
373,Shh
374,Siglec1
375,Slurp1
376,Slurp2
377,Spp1
378,Sst
379,Tac1
380,Tac2
381,Tac4
382,Tgfa
383,Tgfb1
384,Tgfb2
385,Tgfb3
386,Thpo
387,Thy1
388,Tigit
389,Tnf
390,Tnfsf10
391,Tnfsf11
392,Tnfsf12
393,Tnfsf13
394,Tnfsf13b
395,Tnfsf14
396,Tnfsf15
397,Tnfsf18
398,Tnfsf4
399,Tnfsf8
400,Tnfsf9
401,Trh
402,Try4
403,Tshb
404,Tslp
405,Ucn
406,Ucn2
407,Ulbp1
