,0
0,Ackr1
1,Ackr2
2,Ackr3
3,Ackr4
4,Acvr2a
5,Acvr2b
6,Adcyap1r1
7,Adgre5
8,Adipor1
9,Adipor2
10,Agtr1a
11,Agtr1b
12,Alcam
13,Alk
14,Anxa1
15,Aplnr
16,App
17,Avpr1a
18,Avpr2
19,Axl
20,Bdkrb1
21,Bdkrb2
22,Bst2
23,C3ar1
24,C5ar1
25,Cadm1
26,Cadm3
27,Calcr
28,Calcrl
29,Cap1
30,Cckbr
31,Ccr1
32,Ccr10
33,Ccr2
34,Ccr3
35,Ccr4
36,Ccr5
37,Ccr6
38,Ccr7
39,Ccr8
40,Ccr9
41,Cd1d1
42,Cd1d2
43,Cd200
44,Cd209a
45,Cd22
46,Cd226
47,Cd27
48,Cd274
49,Cd34
50,Cd4
51,Cd40lg
52,Cd44
53,Cd46
54,Cd48
55,Cd52
56,Cd6
57,Cd80
58,Cd86
59,Cd8a
60,Cd96
61,Cdh1
62,Cdh11
63,Cdh15
64,Cdh2
65,Cdh4
66,Cdh5
67,Ceacam1
68,Chrna1
69,Chrna10
70,Chrna3
71,Chrna4
72,Chrna5
73,Chrna7
74,Chrna9
75,Chrnb1
76,Chrnb2
77,Chrnb4
78,Chrnd
79,Chrne
80,Chrng
81,Cldn11
82,Clec2d
83,Clec2g
84,Clec2i
85,Cmklr1
86,Cntn1
87,Cntn2
88,Cr2
89,Crhr1
90,Crhr2
91,Csf1r
92,Csf3r
93,Cspg4
94,Cx3cr1
95,Cxcr1
96,Cxcr2
97,Cxcr3
98,Cxcr4
99,Cxcr5
100,Cxcr6
101,Dlk1
102,Dll1
103,Dll3
104,Dll4
105,Dsc1
106,Dsc2
107,Dsg1c
108,Dsg2
109,Eda2r
110,Edar
111,Ednra
112,Ednrb
113,Efna1
114,Efna2
115,Efna3
116,Efna4
117,Efna5
118,Efnb1
119,Efnb2
120,Efnb3
121,Egfr
122,Entpd1
123,Epgn
124,Epor
125,Erbb3
126,Erbb4
127,Esam
128,F11r
129,F2r
130,F2rl1
131,F2rl2
132,F2rl3
133,Fas
134,Fcer2a
135,Fgfr1
136,Fgfr2
137,Fgfr3
138,Fgfr4
139,Flt1
140,Flt3
141,Flt4
142,Fpr1
143,Fpr2
144,Fzd1
145,Fzd10
146,Fzd2
147,Fzd3
148,Fzd4
149,Fzd5
150,Fzd6
151,Fzd7
152,Fzd8
153,Fzd9
154,Galr2
155,Galr3
156,Gcgr
