"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","DC-1","FIB-VI","Tgfb1","TGFbR1_R2",0.003470584620681,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"2","FIB-VI","FIB-VI","Tgfb1","TGFbR1_R2",0.000959964533156656,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"3","MAC-1","FIB-VI","Tgfb1","TGFbR1_R2",0.00571418690402603,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"4","MAC-2","FIB-VI","Tgfb1","TGFbR1_R2",0.0110075929083306,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"5","MAST","FIB-VI","Tgfb1","TGFbR1_R2",0.0035597930587136,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"6","TCELL-2","FIB-VI","Areg","Egfr",8.56820588360453e-05,0,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"7","TCELL-2","MAC-1","Areg","Egfr",1.85386837964534e-05,0,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"8","TCELL-2","MAC-2","Areg","Egfr",3.57510737664304e-05,0,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"9","TCELL-2","MAC-3","Areg","Egfr",2.45589494522182e-06,0.04,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"10","TCELL-2","BASO","Areg","Egfr",1.3542286933546e-05,0.01,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"11","TCELL-2","NEU","Areg","Egfr",2.28588959410635e-06,0.01,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"12","FIB-VI","FIB-VI","Pdgfc","Pdgfra",0.000227556778931593,0,"PDGFC_PDGFRA","Pdgfc  - Pdgfra","PDGF","Secreted Signaling","PMID: 15207812"
"13","FIB-VI","FIB-VI","Igf1","Igf1r",8.24933719716638e-06,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"14","FIB-VI","MAC-1","Igf1","Igf1r",1.45419265002972e-05,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"15","FIB-VI","MAC-2","Igf1","Igf1r",2.82929296949298e-05,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"16","FIB-VI","MAC-3","Igf1","Igf1r",1.92646604138805e-06,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"17","FIB-VI","BASO","Igf1","Igf1r",1.06227682746566e-05,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"18","FIB-VI","NEU","Igf1","Igf1r",1.79310992095867e-06,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"19","FIB-VI","FIB-VI","Igf1","ITGAV_ITGB3",0.000455602606893529,0,"IGF1_ITGAV_ITGB3","Igf1  - (Itgav+Itgb3)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464"
"20","FIB-VI","DC-1","Ccl8","Ccr2",0.00268929551009012,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"21","FIB-VI","DC-3","Ccl8","Ccr2",0.00172661847705998,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"22","FIB-VI","MAC-1","Ccl8","Ccr2",0.00732598748399282,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"23","FIB-VI","MAC-3","Ccl8","Ccr2",0.00339338592196171,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"24","MAC-1","DC-1","Ccl6","Ccr2",0.0433254908566674,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"25","MAC-2","DC-1","Ccl6","Ccr2",0.0474079560624199,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"26","MAC-3","DC-1","Ccl6","Ccr2",0.0381118649693486,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"27","BASO","DC-1","Ccl6","Ccr2",0.077944080340811,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"28","MAC-1","DC-3","Ccl6","Ccr2",0.0282281521606177,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"29","MAC-2","DC-3","Ccl6","Ccr2",0.0309340278702297,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"30","MAC-3","DC-3","Ccl6","Ccr2",0.0247842169227117,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"31","BASO","DC-3","Ccl6","Ccr2",0.0514319753401317,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"32","MAC-1","MAC-1","Ccl6","Ccr2",0.110277144069486,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"33","MAC-2","MAC-1","Ccl6","Ccr2",0.11987779192228,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"34","MAC-3","MAC-1","Ccl6","Ccr2",0.0978306980307989,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"35","BASO","MAC-1","Ccl6","Ccr2",0.187885974389348,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"36","MAC-1","MAC-3","Ccl6","Ccr2",0.0540915983839259,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"37","MAC-2","MAC-3","Ccl6","Ccr2",0.0591258325166263,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"38","MAC-3","MAC-3","Ccl6","Ccr2",0.0476469444825923,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"39","BASO","MAC-3","Ccl6","Ccr2",0.0964454404940692,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"40","FIB-VI","DC-1","Ccl7","Ccr2",0.0197590279375631,0,"CCL7_CCR2","Ccl7  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"41","MAC-2","DC-1","Ccl7","Ccr2",0.00870690873890008,0.01,"CCL7_CCR2","Ccl7  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"42","MAST","DC-1","Ccl7","Ccr2",0.0439184092212888,0,"CCL7_CCR2","Ccl7  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"43","FIB-VI","DC-3","Ccl7","Ccr2",0.0127641671024091,0,"CCL7_CCR2","Ccl7  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"44","MAST","DC-3","Ccl7","Ccr2",0.0286206414183271,0,"CCL7_CCR2","Ccl7  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"45","FIB-VI","MAC-1","Ccl7","Ccr2",0.0522832703099032,0,"CCL7_CCR2","Ccl7  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"46","MAC-2","MAC-1","Ccl7","Ccr2",0.0234745329583157,0,"CCL7_CCR2","Ccl7  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"47","MAST","MAC-1","Ccl7","Ccr2",0.111679349751594,0,"CCL7_CCR2","Ccl7  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"48","FIB-VI","MAC-3","Ccl7","Ccr2",0.0248209572146819,0,"CCL7_CCR2","Ccl7  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"49","MAC-2","MAC-3","Ccl7","Ccr2",0.0109691554568284,0,"CCL7_CCR2","Ccl7  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"50","MAST","MAC-3","Ccl7","Ccr2",0.0548234098769925,0,"CCL7_CCR2","Ccl7  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"51","FIB-VI","DC-1","Ccl2","Ccr2",0.0181121798693306,0,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"52","MAC-2","DC-1","Ccl2","Ccr2",0.0114712156852741,0,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"53","MAST","DC-1","Ccl2","Ccr2",0.0720004862616232,0,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"54","FIB-VI","DC-3","Ccl2","Ccr2",0.0116933623749141,0,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"55","MAST","DC-3","Ccl2","Ccr2",0.0474061099306297,0,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"56","FIB-VI","MAC-1","Ccl2","Ccr2",0.0480585391893222,0,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"57","MAC-2","MAC-1","Ccl2","Ccr2",0.030781741472155,0,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"58","MAST","MAC-1","Ccl2","Ccr2",0.175151327811142,0,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"59","TCELL-2","MAC-1","Ccl2","Ccr2",0.0164710811398226,0.02,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"60","FIB-VI","MAC-3","Ccl2","Ccr2",0.0227620112277472,0,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"61","MAC-2","MAC-3","Ccl2","Ccr2",0.0144412270566258,0.01,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"62","MAST","MAC-3","Ccl2","Ccr2",0.0892275574919222,0,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"63","TCELL-2","MAC-3","Ccl2","Ccr2",0.00766729628254817,0.03,"CCL2_CCR2","Ccl2  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"64","TCELL-2","DC-2","Ccl21a","Ccr7",0.0230195741411353,0,"CCL21A_CCR7","Ccl21a  - Ccr7","CCL","Secreted Signaling","KEGG: mmu04060"
"65","FIB-VI","FIB-VI","Cxcl12","Ackr3",0.00694769590919044,0,"CXCL12_ACKR3","Cxcl12  - Ackr3","CXCL","Secreted Signaling","KEGG: mmu04060"
"66","DC-2","TCELL-1","Cxcl16","Cxcr6",0.039554134415506,0,"CXCL16_CXCR6","Cxcl16  - Cxcr6","CXCL","Secreted Signaling","KEGG: mmu04060"
"67","DC-3","DC-1","Mif","CD74_CD44",0.0591215814987796,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"68","FIB-VI","DC-1","Mif","CD74_CD44",0.0887248338207892,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"69","MAC-2","DC-1","Mif","CD74_CD44",0.100088055253739,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"70","TCELL-2","DC-1","Mif","CD74_CD44",0.10282888459666,0.01,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"71","DC-3","DC-3","Mif","CD74_CD44",0.0543956654225239,0.04,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"72","FIB-VI","DC-3","Mif","CD74_CD44",0.081838392815804,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"73","MAC-2","DC-3","Mif","CD74_CD44",0.0924090865443818,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"74","TCELL-2","DC-3","Mif","CD74_CD44",0.0949618233365237,0.04,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"75","DC-3","DC-4","Mif","CD74_CD44",0.058579599074634,0.03,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"76","FIB-VI","DC-4","Mif","CD74_CD44",0.0879368348214894,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"77","MAC-2","DC-4","Mif","CD74_CD44",0.0992101223968659,0.01,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"78","TCELL-2","DC-4","Mif","CD74_CD44",0.101929633355063,0.03,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"79","DC-3","MAC-1","Mif","CD74_CD44",0.0650442968089509,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"80","FIB-VI","MAC-1","Mif","CD74_CD44",0.0973064544470515,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"81","MAC-2","MAC-1","Mif","CD74_CD44",0.109636516079978,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"82","TCELL-2","MAC-1","Mif","CD74_CD44",0.11260610357107,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"83","FIB-VI","MAC-2","Mif","CD74_CD44",0.11246366688828,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"84","MAC-2","MAC-2","Mif","CD74_CD44",0.126445322225256,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"85","TCELL-2","MAC-2","Mif","CD74_CD44",0.129803814888438,0.01,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"86","FIB-VI","MAC-3","Mif","CD74_CD44",0.0430077506088104,0.04,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"87","DC-1","FIB-VI","Mif","Ackr3",0.0164318531651989,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"88","DC-3","FIB-VI","Mif","Ackr3",0.0356578477663633,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"89","DC-4","FIB-VI","Mif","Ackr3",0.0169177445065676,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"90","FIB-VI","FIB-VI","Mif","Ackr3",0.0541890381742881,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"91","MAC-1","FIB-VI","Mif","Ackr3",0.0180698496848278,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"92","MAC-2","FIB-VI","Mif","Ackr3",0.0614273220090922,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"93","TCELL-1","FIB-VI","Mif","Ackr3",0.019468645117309,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"94","TCELL-2","FIB-VI","Mif","Ackr3",0.0631837908097705,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"95","TCELL-2","DC-3","Xcl1","Xcr1",0.00418053065076312,0,"XCL1_XCR1","Xcl1  - Xcr1","XCR","Secreted Signaling","KEGG: mmu04060"
"96","DC-1","DC-1","Tslp","IL7R_CRLF2",0.000228167632485173,0,"TSLP_IL7R_CRLF2","Tslp  - (Il7r+Crlf2)","IL2","Secreted Signaling","KEGG: mmu04060"
"97","DC-4","DC-1","Tslp","IL7R_CRLF2",0.000149787796760498,0.01,"TSLP_IL7R_CRLF2","Tslp  - (Il7r+Crlf2)","IL2","Secreted Signaling","KEGG: mmu04060"
"98","FIB-VI","DC-1","Tslp","IL7R_CRLF2",8.21986001230148e-05,0,"TSLP_IL7R_CRLF2","Tslp  - (Il7r+Crlf2)","IL2","Secreted Signaling","KEGG: mmu04060"
"99","TCELL-1","DC-1","Tslp","IL7R_CRLF2",0.000246264593632208,0,"TSLP_IL7R_CRLF2","Tslp  - (Il7r+Crlf2)","IL2","Secreted Signaling","KEGG: mmu04060"
"100","DC-1","DC-4","Tslp","IL7R_CRLF2",0.000132545048579664,0.01,"TSLP_IL7R_CRLF2","Tslp  - (Il7r+Crlf2)","IL2","Secreted Signaling","KEGG: mmu04060"
"101","FIB-VI","DC-4","Tslp","IL7R_CRLF2",4.77471354033256e-05,0.01,"TSLP_IL7R_CRLF2","Tslp  - (Il7r+Crlf2)","IL2","Secreted Signaling","KEGG: mmu04060"
"102","TCELL-1","DC-4","Tslp","IL7R_CRLF2",0.000143058854525646,0,"TSLP_IL7R_CRLF2","Tslp  - (Il7r+Crlf2)","IL2","Secreted Signaling","KEGG: mmu04060"
