"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","DC-1","FIB-II","Tgfb1","TGFbR1_R2",0.00690101524570252,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"2","MAC-1","FIB-II","Tgfb1","TGFbR1_R2",0.00665048856446874,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"3","MAC-2","FIB-II","Tgfb1","TGFbR1_R2",0.00859557248787497,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"4","BASO","FIB-II","Tgfb1","TGFbR1_R2",0.00624714586483372,0.02,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"5","TCELL","FIB-II","Tgfb1","TGFbR1_R2",0.00593551622656057,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"6","NK","FIB-II","Tgfb1","TGFbR1_R2",0.025263665395391,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"7","MAC-4","FIB-II","Tgfb1","TGFbR1_R2",0.00489310809622675,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"8","DC-1","FIB-III","Tgfb1","TGFbR1_R2",0.00191976526626638,0.04,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"9","MAC-1","FIB-III","Tgfb1","TGFbR1_R2",0.00184939207677406,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"10","MAC-2","FIB-III","Tgfb1","TGFbR1_R2",0.00238938849969209,0.02,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"11","NK","FIB-III","Tgfb1","TGFbR1_R2",0.0072227046698409,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"12","DC-1","FIB-IX","Tgfb1","TGFbR1_R2",0.00207366322486861,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"13","MAC-1","FIB-IX","Tgfb1","TGFbR1_R2",0.00199763398644603,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"14","MAC-2","FIB-IX","Tgfb1","TGFbR1_R2",0.00258089567838525,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"15","NK","FIB-IX","Tgfb1","TGFbR1_R2",0.00780600679298145,0.02,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"16","DC-1","MAC-3","Tgfb1","TGFbR1_R2",0.00324193545798553,0.02,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"17","NK","MAC-3","Tgfb1","TGFbR1_R2",0.0122020202014879,0.02,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"18","MAC-4","MAC-3","Tgfb1","TGFbR1_R2",0.00229214983070867,0.04,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"19","DC-1","NK","Tgfb1","TGFbR1_R2",0.0162350519800809,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"20","MAC-1","NK","Tgfb1","TGFbR1_R2",0.0156471274632292,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"21","MAC-2","NK","Tgfb1","TGFbR1_R2",0.0202254048554713,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"22","BASO","NK","Tgfb1","TGFbR1_R2",0.014700351624577,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"23","TCELL","NK","Tgfb1","TGFbR1_R2",0.0139686618922396,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"24","NK","NK","Tgfb1","TGFbR1_R2",0.0590320765673897,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"25","MAC-4","NK","Tgfb1","TGFbR1_R2",0.0115194898906744,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"26","MAC-1","FIB-II","Gdf15","Tgfbr2",0.0200563606430065,0,"GDF15_TGFBR2","Gdf15  - Tgfbr2","GDF","Secreted Signaling","KEGG: mmu04350"
"27","MAC-1","FIB-III","Gdf15","Tgfbr2",0.00505557566303783,0,"GDF15_TGFBR2","Gdf15  - Tgfbr2","GDF","Secreted Signaling","KEGG: mmu04350"
"28","MAC-1","FIB-IX","Gdf15","Tgfbr2",0.00509720694858068,0,"GDF15_TGFBR2","Gdf15  - Tgfbr2","GDF","Secreted Signaling","KEGG: mmu04350"
"29","MAC-1","MAC-3","Gdf15","Tgfbr2",0.00502594925365417,0,"GDF15_TGFBR2","Gdf15  - Tgfbr2","GDF","Secreted Signaling","KEGG: mmu04350"
"30","MAC-1","NK","Gdf15","Tgfbr2",0.0240459554517508,0,"GDF15_TGFBR2","Gdf15  - Tgfbr2","GDF","Secreted Signaling","KEGG: mmu04350"
"31","NK","FIB-II","Areg","Egfr",0.000195066392906661,0,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"32","NK","FIB-III","Areg","Egfr",4.17768224304211e-05,0,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"33","NK","FIB-IX","Areg","Egfr",0.00019332360771058,0,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"34","NK","MAC-1","Areg","Egfr",0.000132557602513996,0,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"35","NK","MAC-2","Areg","Egfr",3.86967417240112e-05,0,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"36","NK","MAC-3","Areg","Egfr",2.28389401830677e-05,0.01,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"37","NK","MAC-4","Areg","Egfr",8.5852144652724e-05,0,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"38","MAC-1","FIB-IX","Igf1","Igf1r",0.000222989535314358,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"39","FIB-II","MAC-1","Igf1","Igf1r",0.000288933953238232,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"40","MAC-1","MAC-1","Igf1","Igf1r",0.000863764268678868,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"41","MAC-4","MAC-1","Igf1","Igf1r",0.000213428442945809,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"42","MAC-1","MAC-2","Igf1","Igf1r",0.000276612025189128,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"43","FIB-II","MAC-4","Igf1","Igf1r",0.000200747630488328,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"44","MAC-1","MAC-4","Igf1","Igf1r",0.000600165724006995,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"45","FIB-II","DC-1","Mif","CD74_CD44",0.0704418698531354,0.01,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"46","FIB-III","DC-1","Mif","CD74_CD44",0.0661924957360732,0.03,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"47","FIB-IX","DC-1","Mif","CD74_CD44",0.114620747354318,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"48","MAC-2","DC-1","Mif","CD74_CD44",0.0870272786095589,0.01,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"49","BASO","DC-1","Mif","CD74_CD44",0.115781241412881,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"50","TCELL","DC-1","Mif","CD74_CD44",0.144398303642822,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"51","MAC-4","DC-1","Mif","CD74_CD44",0.11101967070305,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"52","TCELL","DC-2","Mif","CD74_CD44",0.10397475552199,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"53","FIB-IX","DC-3","Mif","CD74_CD44",0.111618944014181,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"54","MAC-2","DC-3","Mif","CD74_CD44",0.0846790058598452,0.01,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"55","BASO","DC-3","Mif","CD74_CD44",0.112752916328121,0.01,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"56","TCELL","DC-3","Mif","CD74_CD44",0.140740620468826,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"57","MAC-4","DC-3","Mif","CD74_CD44",0.108100661337479,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"58","FIB-IX","MAC-1","Mif","CD74_CD44",0.0835640978705628,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"59","MAC-2","MAC-1","Mif","CD74_CD44",0.0629158316476735,0.02,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"60","BASO","MAC-1","Mif","CD74_CD44",0.0844401429064892,0.04,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"61","TCELL","MAC-1","Mif","CD74_CD44",0.106241540452576,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"62","MAC-4","MAC-1","Mif","CD74_CD44",0.0808496389744053,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"63","FIB-II","MAC-2","Mif","CD74_CD44",0.104451763192373,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"64","FIB-III","MAC-2","Mif","CD74_CD44",0.0983678656711747,0.01,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"65","FIB-IX","MAC-2","Mif","CD74_CD44",0.166148070904233,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"66","MAC-2","MAC-2","Mif","CD74_CD44",0.127942592713913,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"67","BASO","MAC-2","Mif","CD74_CD44",0.167731427588781,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"68","TCELL","MAC-2","Mif","CD74_CD44",0.206194481725223,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"69","NK","MAC-2","Mif","CD74_CD44",0.0822952484874485,0.03,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"70","MAC-4","MAC-2","Mif","CD74_CD44",0.161222928045018,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"71","FIB-IX","MAC-4","Mif","CD74_CD44",0.0856435387644851,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"72","MAC-2","MAC-4","Mif","CD74_CD44",0.0645176263901955,0.01,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"73","BASO","MAC-4","Mif","CD74_CD44",0.0865393250738093,0.01,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"74","TCELL","MAC-4","Mif","CD74_CD44",0.108818288395216,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"75","MAC-4","MAC-4","Mif","CD74_CD44",0.0828676401526855,0,"MIF_CD74_CD44","Mif  - (Cd74+Cd44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"76","DC-1","FIB-II","Mif","Ackr3",0.00994685367191316,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"77","DC-2","FIB-II","Mif","Ackr3",0.00882936648925171,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"78","DC-3","FIB-II","Mif","Ackr3",0.00956808768773847,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"79","FIB-II","FIB-II","Mif","Ackr3",0.0219137353515685,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"80","FIB-III","FIB-II","Mif","Ackr3",0.02052715338951,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"81","FIB-IX","FIB-II","Mif","Ackr3",0.03686432572013,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"82","MAC-1","FIB-II","Mif","Ackr3",0.00994273281808984,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"83","MAC-2","FIB-II","Mif","Ackr3",0.0274102023442387,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"84","BASO","FIB-II","Mif","Ackr3",0.0372707039588248,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"85","TCELL","FIB-II","Mif","Ackr3",0.0475257134097094,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"86","NK","FIB-II","Mif","Ackr3",0.0169342821689976,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"87","MAC-4","FIB-II","Mif","Ackr3",0.0356078997127614,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"88","DC-1","FIB-III","Mif","Ackr3",0.0079042569648059,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"89","DC-2","FIB-III","Mif","Ackr3",0.00701462106537055,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"90","DC-3","FIB-III","Mif","Ackr3",0.00760267369101863,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"91","FIB-II","FIB-III","Mif","Ackr3",0.0174570572661553,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"92","FIB-III","FIB-III","Mif","Ackr3",0.0163477563889735,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"93","FIB-IX","FIB-III","Mif","Ackr3",0.0294586678885153,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"94","MAC-1","FIB-III","Mif","Ackr3",0.00790097557943588,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"95","MAC-2","FIB-III","Mif","Ackr3",0.0218606714310582,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"96","BASO","FIB-III","Mif","Ackr3",0.0297859336956482,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"97","TCELL","FIB-III","Mif","Ackr3",0.0380629361920625,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"98","NK","FIB-III","Mif","Ackr3",0.0134763409279239,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"99","MAC-4","FIB-III","Mif","Ackr3",0.028447189762728,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"100","DC-1","FIB-IX","Mif","Ackr3",0.00625065065774472,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"101","DC-2","FIB-IX","Mif","Ackr3",0.0055460901729826,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"102","DC-3","FIB-IX","Mif","Ackr3",0.00601177764830782,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"103","FIB-II","FIB-IX","Mif","Ackr3",0.0138328269348933,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"104","FIB-III","FIB-IX","Mif","Ackr3",0.0129507905889977,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"105","FIB-IX","FIB-IX","Mif","Ackr3",0.023402148933102,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"106","MAC-1","FIB-IX","Mif","Ackr3",0.00624805142969616,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"107","MAC-2","FIB-IX","Mif","Ackr3",0.0173383469764299,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"108","BASO","FIB-IX","Mif","Ackr3",0.0236637714413454,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"109","TCELL","FIB-IX","Mif","Ackr3",0.0302926469040932,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"110","NK","FIB-IX","Mif","Ackr3",0.0106695661152411,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"111","MAC-4","FIB-IX","Mif","Ackr3",0.0225937833506223,0,"MIF_ACKR3","Mif  - Ackr3","MIF","Secreted Signaling","PMID: 26175090"
"112","DC-1","DC-1","Tslp","IL7R_CRLF2",0.00117991602895183,0,"TSLP_IL7R_CRLF2","Tslp  - (Il7r+Crlf2)","IL2","Secreted Signaling","KEGG: mmu04060"
"113","DC-2","DC-1","Tslp","IL7R_CRLF2",0.000977950615503546,0,"TSLP_IL7R_CRLF2","Tslp  - (Il7r+Crlf2)","IL2","Secreted Signaling","KEGG: mmu04060"
"114","MAC-1","DC-1","Tslp","IL7R_CRLF2",0.0010212128553493,0,"TSLP_IL7R_CRLF2","Tslp  - (Il7r+Crlf2)","IL2","Secreted Signaling","KEGG: mmu04060"
"115","MAC-2","DC-1","Tslp","IL7R_CRLF2",0.00099560931888441,0,"TSLP_IL7R_CRLF2","Tslp  - (Il7r+Crlf2)","IL2","Secreted Signaling","KEGG: mmu04060"
