"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","DC-1","FIB-II","Tgfb1","TGFbR1_R2",0.00314284381309217,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"2","MAC-1","FIB-II","Tgfb1","TGFbR1_R2",0.00517289021819895,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"3","MAC-2","FIB-II","Tgfb1","TGFbR1_R2",0.00995941557034719,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"4","MAST","FIB-II","Tgfb1","TGFbR1_R2",0.00322328162340298,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"5","DC-1","FIB-VI","Tgfb1","TGFbR1_R2",0.00347838542874904,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"6","MAC-1","FIB-VI","Tgfb1","TGFbR1_R2",0.00572670617870313,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"7","MAC-2","FIB-VI","Tgfb1","TGFbR1_R2",0.0110306597737396,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"8","MAST","FIB-VI","Tgfb1","TGFbR1_R2",0.00356772765530216,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"9","FIB-VI","FIB-VI","Pdgfc","Pdgfra",0.000233712034431638,0,"PDGFC_PDGFRA","Pdgfc  - Pdgfra","PDGF","Secreted Signaling","PMID: 15207812"
"10","FIB-II","FIB-II","Igf1","Igf1r",3.55328954505529e-05,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"11","FIB-II","FIB-VI","Igf1","Igf1r",4.18153124371019e-05,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"12","FIB-II","MAC-1","Igf1","Igf1r",8.13174395112575e-05,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"13","FIB-II","FIB-VI","Igf1","ITGAV_ITGB3",0.00243878916588844,0,"IGF1_ITGAV_ITGB3","Igf1  - (Itgav+Itgb3)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464"
"14","FIB-VI","FIB-VI","Igf1","ITGAV_ITGB3",0.000379677604226558,0,"IGF1_ITGAV_ITGB3","Igf1  - (Itgav+Itgb3)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464"
"15","FIB-VI","DC-1","Ccl8","Ccr2",0.00206785332845847,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"16","FIB-VI","DC-3","Ccl8","Ccr2",0.00132733555465197,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"17","FIB-VI","MAC-1","Ccl8","Ccr2",0.00563915725607667,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"18","FIB-VI","MAC-3","Ccl8","Ccr2",0.00260966832781118,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"19","MAC-1","DC-1","Ccl6","Ccr2",0.0433254908566674,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"20","MAC-2","DC-1","Ccl6","Ccr2",0.0474079560624199,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"21","MAC-3","DC-1","Ccl6","Ccr2",0.0381118649693486,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"22","MAC-1","DC-3","Ccl6","Ccr2",0.0282281521606177,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"23","MAC-2","DC-3","Ccl6","Ccr2",0.0309340278702297,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"24","MAC-3","DC-3","Ccl6","Ccr2",0.0247842169227117,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"25","MAC-1","MAC-1","Ccl6","Ccr2",0.110277144069486,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"26","MAC-2","MAC-1","Ccl6","Ccr2",0.11987779192228,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"27","MAC-3","MAC-1","Ccl6","Ccr2",0.0978306980307989,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"28","MAC-1","MAC-3","Ccl6","Ccr2",0.0540915983839259,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"29","MAC-2","MAC-3","Ccl6","Ccr2",0.0591258325166263,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
