"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","DC-1","FIB-II","Tgfb1","TGFbR1_R2",0.00794262163004987,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"2","MAC-1","FIB-II","Tgfb1","TGFbR1_R2",0.0083134580469303,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"3","MAC-2","FIB-II","Tgfb1","TGFbR1_R2",0.00633085336335233,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"4","BASO","FIB-II","Tgfb1","TGFbR1_R2",0.00708903474392579,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"5","TCELL-1","FIB-II","Tgfb1","TGFbR1_R2",0.00711778072990066,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"6","TCELL-2","FIB-II","Tgfb1","TGFbR1_R2",0.0308087319822661,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"7","DC-1","FIB-III","Tgfb1","TGFbR1_R2",0.0018494455468288,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"8","MAC-1","FIB-III","Tgfb1","TGFbR1_R2",0.00193451983766962,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"9","MAC-2","FIB-III","Tgfb1","TGFbR1_R2",0.00146983098345541,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"10","TCELL-1","FIB-III","Tgfb1","TGFbR1_R2",0.0016554902725817,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"11","TCELL-2","FIB-III","Tgfb1","TGFbR1_R2",0.00740835675124422,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"12","DC-1","FIB-X","Tgfb1","TGFbR1_R2",0.00229234192564165,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"13","MAC-1","FIB-X","Tgfb1","TGFbR1_R2",0.00239783888805285,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"14","MAC-2","FIB-X","Tgfb1","TGFbR1_R2",0.00182198608557901,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"15","TCELL-1","FIB-X","Tgfb1","TGFbR1_R2",0.00205201249488164,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"16","TCELL-2","FIB-X","Tgfb1","TGFbR1_R2",0.00917308002184206,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"17","DC-1","TCELL-2","Tgfb1","TGFbR1_R2",0.012277655633733,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"18","MAC-1","TCELL-2","Tgfb1","TGFbR1_R2",0.0128492407260095,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"19","MAC-2","TCELL-2","Tgfb1","TGFbR1_R2",0.00978059814799982,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"20","BASO","TCELL-2","Tgfb1","TGFbR1_R2",0.0109556619554431,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"21","TCELL-1","TCELL-2","Tgfb1","TGFbR1_R2",0.0110001724241138,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"22","TCELL-2","TCELL-2","Tgfb1","TGFbR1_R2",0.0479197258280973,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"23","FIB-III","FIB-II","Tgfb2","TGFbR1_R2",0.00278262327831409,0,"TGFB2_TGFBR1_TGFBR2","Tgfb2  - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"24","FIB-III","FIB-III","Tgfb2","TGFbR1_R2",0.000645615108948809,0,"TGFB2_TGFBR1_TGFBR2","Tgfb2  - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"25","FIB-III","FIB-X","Tgfb2","TGFbR1_R2",0.000800313736321005,0,"TGFB2_TGFBR1_TGFBR2","Tgfb2  - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"26","FIB-III","TCELL-2","Tgfb2","TGFbR1_R2",0.00429834914151963,0,"TGFB2_TGFBR1_TGFBR2","Tgfb2  - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"27","MAC-1","FIB-II","Gdf15","Tgfbr2",0.017262607750791,0,"GDF15_TGFBR2","Gdf15  - Tgfbr2","GDF","Secreted Signaling","KEGG: mmu04350"
