"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","DC-1","DC-3","Tgfb1","TGFbR1_R2",0.0036879779039177,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"2","MAC-2","DC-3","Tgfb1","TGFbR1_R2",0.00435896111764157,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"3","TCELL-1","DC-3","Tgfb1","TGFbR1_R2",0.00182890406960146,0.03,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"4","DC-1","FIB-IX","Tgfb1","TGFbR1_R2",0.00191153631590611,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"5","MAC-1","FIB-IX","Tgfb1","TGFbR1_R2",0.00123265252070111,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"6","MAC-2","FIB-IX","Tgfb1","TGFbR1_R2",0.00225719229761033,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"7","TCELL-1","FIB-IX","Tgfb1","TGFbR1_R2",0.000950428598067674,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"8","DC-1","FIB-VIII","Tgfb1","TGFbR1_R2",0.00488935588828294,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"9","DC-3","FIB-VIII","Tgfb1","TGFbR1_R2",0.00473965901439111,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"10","MAC-1","FIB-VIII","Tgfb1","TGFbR1_R2",0.00315206680577229,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"11","MAC-2","FIB-VIII","Tgfb1","TGFbR1_R2",0.00577425408577267,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"12","TCELL-1","FIB-VIII","Tgfb1","TGFbR1_R2",0.00243011436071873,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"13","DC-1","MAC-2","Tgfb1","TGFbR1_R2",0.00855733984295218,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"14","DC-3","MAC-2","Tgfb1","TGFbR1_R2",0.0082954556124701,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"15","MAC-1","MAC-2","Tgfb1","TGFbR1_R2",0.00551762732472576,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"16","MAC-2","MAC-2","Tgfb1","TGFbR1_R2",0.0101052592752082,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"17","MAC-3","MAC-2","Tgfb1","TGFbR1_R2",0.00289943464741709,0.03,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"18","TCELL-1","MAC-2","Tgfb1","TGFbR1_R2",0.00425414883752171,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"19","DC-1","MAC-3","Tgfb1","TGFbR1_R2",0.00544057262619993,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"20","DC-3","MAC-3","Tgfb1","TGFbR1_R2",0.00527333173224026,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"21","MAC-1","MAC-3","Tgfb1","TGFbR1_R2",0.00350228013659201,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"22","MAC-2","MAC-3","Tgfb1","TGFbR1_R2",0.00643004369205158,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"23","TCELL-1","MAC-3","Tgfb1","TGFbR1_R2",0.0026984696353769,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"24","DC-1","TCELL-2","Tgfb1","TGFbR1_R2",0.0113235407969627,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"25","DC-3","TCELL-2","Tgfb1","TGFbR1_R2",0.0109779386011497,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"26","MAC-1","TCELL-2","Tgfb1","TGFbR1_R2",0.00730846999422224,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"27","MAC-2","TCELL-2","Tgfb1","TGFbR1_R2",0.0133650873335038,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"28","MAC-3","TCELL-2","Tgfb1","TGFbR1_R2",0.00384474034284668,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"29","TCELL-1","TCELL-2","Tgfb1","TGFbR1_R2",0.00563723198108638,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"30","FIB-VIII","FIB-VIII","Tgfb2","TGFbR1_R2",0.000891981137534583,0,"TGFB2_TGFBR1_TGFBR2","Tgfb2  - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"31","FIB-VIII","MAC-2","Tgfb2","TGFbR1_R2",0.00156163617151387,0,"TGFB2_TGFBR1_TGFBR2","Tgfb2  - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"32","FIB-VIII","TCELL-2","Tgfb2","TGFbR1_R2",0.00207047097553485,0,"TGFB2_TGFBR1_TGFBR2","Tgfb2  - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"33","MAC-2","DC-3","Gdf15","Tgfbr2",0.000930852261444027,0,"GDF15_TGFBR2","Gdf15  - Tgfbr2","GDF","Secreted Signaling","KEGG: mmu04350"
"34","MAC-2","FIB-IX","Gdf15","Tgfbr2",0.00392124685254389,0,"GDF15_TGFBR2","Gdf15  - Tgfbr2","GDF","Secreted Signaling","KEGG: mmu04350"
"35","MAC-2","FIB-VIII","Gdf15","Tgfbr2",0.00300976802997662,0,"GDF15_TGFBR2","Gdf15  - Tgfbr2","GDF","Secreted Signaling","KEGG: mmu04350"
"36","MAC-2","MAC-2","Gdf15","Tgfbr2",0.0040077423789033,0,"GDF15_TGFBR2","Gdf15  - Tgfbr2","GDF","Secreted Signaling","KEGG: mmu04350"
"37","MAC-2","MAC-3","Gdf15","Tgfbr2",0.00141225197234689,0,"GDF15_TGFBR2","Gdf15  - Tgfbr2","GDF","Secreted Signaling","KEGG: mmu04350"
"38","MAC-2","TCELL-2","Gdf15","Tgfbr2",0.00573262471029133,0,"GDF15_TGFBR2","Gdf15  - Tgfbr2","GDF","Secreted Signaling","KEGG: mmu04350"
"39","DC-1","FIB-IX","Wnt11","Fzd1",0.00559886615163716,0,"WNT11_FZD1","Wnt11  - Fzd1","ncWNT","Secreted Signaling","KEGG: mmu04310"
"40","DC-3","FIB-IX","Wnt11","Fzd1",0.00412140800738258,0,"WNT11_FZD1","Wnt11  - Fzd1","ncWNT","Secreted Signaling","KEGG: mmu04310"
"41","DC-1","FIB-IX","Wnt11","Fzd2",0.00560701059561246,0,"WNT11_FZD2","Wnt11  - Fzd2","ncWNT","Secreted Signaling","KEGG: mmu04310"
"42","DC-3","FIB-IX","Wnt11","Fzd2",0.00412741217336932,0,"WNT11_FZD2","Wnt11  - Fzd2","ncWNT","Secreted Signaling","KEGG: mmu04310"
"43","FIB-VIII","DC-3","Fgf7","Fgfr1",0.0024969493658355,0,"FGF7_FGFR1","Fgf7  - Fgfr1","FGF","Secreted Signaling","PMC: 4393358"
"44","FIB-VIII","FIB-IX","Fgf7","Fgfr1",0.00401872544449321,0,"FGF7_FGFR1","Fgf7  - Fgfr1","FGF","Secreted Signaling","PMC: 4393358"
"45","FIB-VIII","FIB-VIII","Fgf7","Fgfr1",0.026468913009744,0,"FGF7_FGFR1","Fgf7  - Fgfr1","FGF","Secreted Signaling","PMC: 4393358"
"46","FIB-VIII","MAC-1","Fgf7","Fgfr1",0.00258789517037387,0,"FGF7_FGFR1","Fgf7  - Fgfr1","FGF","Secreted Signaling","PMC: 4393358"
"47","FIB-VIII","MAC-2","Fgf7","Fgfr1",0.0226181499372716,0,"FGF7_FGFR1","Fgf7  - Fgfr1","FGF","Secreted Signaling","PMC: 4393358"
"48","FIB-VIII","DC-1","Fgf7","Fgfr2",1.86938834602721e-09,0,"FGF7_FGFR2","Fgf7  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358"
"49","FIB-VIII","FIB-IX","Fgf7","Fgfr2",3.64847010900709e-07,0,"FGF7_FGFR2","Fgf7  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358"
"50","FIB-VIII","FIB-VIII","Fgf7","Fgfr2",0.00272129484101461,0,"FGF7_FGFR2","Fgf7  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358"
"51","FIB-VIII","MAC-1","Fgf7","Fgfr2",3.43223854756376e-09,0,"FGF7_FGFR2","Fgf7  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358"
"52","FIB-VIII","MAC-2","Fgf7","Fgfr2",1.67804656938819e-08,0,"FGF7_FGFR2","Fgf7  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358"
"53","FIB-VIII","MAC-3","Fgf7","Fgfr2",1.59422813877131e-09,0,"FGF7_FGFR2","Fgf7  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358"
"54","FIB-VIII","DC-3","Fgf10","Fgfr1",0.000928183706416547,0,"FGF10_FGFR1","Fgf10  - Fgfr1","FGF","Secreted Signaling","PMC: 4393358"
"55","FIB-VIII","FIB-IX","Fgf10","Fgfr1",0.00149530231380384,0,"FGF10_FGFR1","Fgf10  - Fgfr1","FGF","Secreted Signaling","PMC: 4393358"
"56","FIB-VIII","FIB-VIII","Fgf10","Fgfr1",0.00999004794507851,0,"FGF10_FGFR1","Fgf10  - Fgfr1","FGF","Secreted Signaling","PMC: 4393358"
"57","FIB-VIII","MAC-1","Fgf10","Fgfr1",0.000962045832862861,0,"FGF10_FGFR1","Fgf10  - Fgfr1","FGF","Secreted Signaling","PMC: 4393358"
"58","FIB-VIII","MAC-2","Fgf10","Fgfr1",0.00851570051956183,0,"FGF10_FGFR1","Fgf10  - Fgfr1","FGF","Secreted Signaling","PMC: 4393358"
"59","FIB-VIII","DC-1","Fgf10","Fgfr2",6.93811127746977e-10,0,"FGF10_FGFR2","Fgf10  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358"
"60","FIB-VIII","FIB-IX","Fgf10","Fgfr2",1.35410587322267e-07,0,"FGF10_FGFR2","Fgf10  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358"
"61","FIB-VIII","FIB-VIII","Fgf10","Fgfr2",0.00101172195505174,0,"FGF10_FGFR2","Fgf10  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358"
"62","FIB-VIII","MAC-1","Fgf10","Fgfr2",1.27385265067208e-09,0,"FGF10_FGFR2","Fgf10  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358"
"63","FIB-VIII","MAC-2","Fgf10","Fgfr2",6.22795897979395e-09,0,"FGF10_FGFR2","Fgf10  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358"
"64","FIB-VIII","MAC-3","Fgf10","Fgfr2",5.91687235563517e-10,0,"FGF10_FGFR2","Fgf10  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358"
"65","FIB-IX","FIB-VIII","Igf1","Igf1r",0.000351738166838242,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"66","MAC-1","FIB-VIII","Igf1","Igf1r",0.00128713585162299,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"67","MAC-2","FIB-VIII","Igf1","Igf1r",0.00403207494173579,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
"68","MAC-2","MAC-2","Igf1","Igf1r",0.000719423695719677,0.04,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834"
