"","l2.t.0.582496032714844","l2.t.0.445651196128444","l2.t.0.308806359542044","l2.t.0.171961522955644","l2.t.0.0351166863692435","l2.t0.101728150217157","l2.t0.238572986803557","l2.t0.375417823389957","l2.t0.512262659976357","l2.t0.649107496562757","l2.t0.785952333149157","l2.t0.922797169735557","l2.t1.05964200632196","l2.t1.19648684290836","l2.t1.33333167949476","l2.t1.47017651608116","l2.t1.60702135266756","l2.t1.74386618925396","l2.t1.88071102584036","l2.t2.01755586242676"
"Apela",1.09553881256534,1.05814144611617,0.96400404252,0.774596747724162,0.498654587648884,0.216238573447015,0.0559487669909307,-0.0101814982503565,-0.0805764204864862,-0.172721282440822,-0.284638816866247,-0.414351756515656,-0.559882834141938,-0.719254782497985,-0.890490334336688,-1.07161222241094,-1.26064317947363,-1.45560593827764,-1.65452323157587,-1.85541779212121
"Gm13889",0.892672312571603,0.846986566885127,0.809217908643603,0.774395327872971,0.703974322754389,0.584626214969686,0.433706767598048,0.260988450048229,0.0705133057503451,-0.13579254886257,-0.356489958307336,-0.590139767100763,-0.83530281975967,-1.09053996080087,-1.35441203474118,-1.62547988609742,-1.9023043593864,-2.18344629912493,-2.46746654982983,-2.75292595601791
"Slfn4",0.68560623791494,0.63255323692119,0.575866953058441,0.511873429595088,0.43647289796079,0.347047487312919,0.242312217792452,0.118521867753531,-0.0282598872280249,-0.197165438445502,-0.386183531695627,-0.593302912775137,-0.816512327480769,-1.05380052160926,-1.30315624095733,-1.56256823132174,-1.8300252384992,-2.10351600828646,-2.38102928648024,-2.6605538188773
"Trem1",0.673484008469406,0.611539854377311,0.54257696620085,0.459339028257722,0.353537679633192,0.225105388699003,0.0821480078759823,-0.0707199352424983,-0.23142204689234,-0.399056082299978,-0.572991866578325,-0.752599224840318,-0.937247982198885,-1.12630796376695,-1.31914899465745,-1.5151408999833,-1.71365350485744,-1.9140566343928,-2.1157201137023,-2.31801376789887
"Wnt6",2.152518391988,1.62995359449621,1.16721352708914,0.788220715218665,0.426964237370835,0.0799952753932025,-0.184716732325587,-0.376971326693213,-0.543702147879138,-0.695139976034634,-0.832675083253374,-0.957697741629033,-1.07159822325529,-1.17576680022582,-1.27159374463429,-1.36046932857438,-1.44378382413977,-1.52292750342414,-1.59929063852115,-1.67426350152449
"Cav1",1.53969811453232,0.772750794807833,0.428898727918764,0.623811498603007,0.690859153464859,0.429616169411869,0.217232329224382,0.110710550540528,-0.00739193475856244,-0.15769107286536,-0.337259895342797,-0.543171433753812,-0.772498719661341,-1.02231478462832,-1.28969266021768,-1.57170537799237,-1.86542596951531,-2.16792746634944,-2.47628290005771,-2.78756530220303
"Cck",0.893433799951609,0.832441927110015,0.791169293402455,0.744780761243427,0.556517489856555,0.292682140250035,0.214487983872797,0.27539620676835,0.287374395344417,0.219793216734586,0.0798853406830265,-0.125116563066087,-0.387979824768584,-0.701471774680289,-1.05835974305703,-1.45141106015464,-1.87339305622893,-2.31707306153575,-2.77521840633091,-3.24059642087025
"Msmo1",1.75772949744783,1.10731919351972,0.840483178788121,1.07938559089165,1.27737195271191,1.14131576994137,0.758287021387226,0.278889048193567,-0.151603937751848,-0.510535893726481,-0.804412367909486,-1.03973890848003,-1.22302106361727,-1.36076438150038,-1.45947441030851,-1.52565669822084,-1.56581679341651,-1.5864602440747,-1.59409259837456,-1.59521940449526
"Zfp750",1.0063022754865,1.1708747122272,1.30010212231604,1.34739234410968,1.23509531881954,0.969218607377384,0.642655067002652,0.314031633452215,0.0130015112740137,-0.257076067662403,-0.499014970924483,-0.715629066079659,-0.909732220695354,-1.08413830233902,-1.24166117857807,-1.38511471697995,-1.5173127851121,-1.64106925054195,-1.75919798083692,-1.87451284356447
"Kif26a",1.68300757828629,1.05405105661111,0.590142282517764,0.42869747496548,0.6348372529892,0.959493598249073,0.902666001245917,0.519236746469097,0.12373374694374,-0.22613324977506,-0.534512971215176,-0.80555414490448,-1.04340549837083,-1.25221575914211,-1.43613365474617,-1.59930791271089,-1.74588726056414,-1.88002042583379,-2.00585613604769,-2.12754311873373
"Grem2",0.600415643443756,0.660265594407122,0.708246141624497,0.732008631522632,0.716350775367018,0.638948612182645,0.475851810790691,0.254356758938612,0.0214819763113295,-0.213531953253857,-0.450490561853507,-0.689199381584168,-0.929463944542392,-1.17108978282474,-1.41388242852777,-1.65764741374802,-1.90219027058207,-2.14731653112644,-2.39283172747771,-2.63854139173242
"Cd207",0.457224192391414,0.711724155785844,0.963328487786218,1.15851633035004,1.11276555250453,0.844052653174661,0.58193436903208,0.387978239679812,0.227922195197127,0.0931040716198163,-0.018770487498062,-0.109995838602449,-0.18286633813929,-0.239676342554529,-0.282720208294105,-0.314292291803967,-0.336686949530058,-0.352198537918315,-0.363121413414686,-0.371749932465115
"S100a14",0.721402975592377,0.893211797642294,1.06869461663204,1.22620954552707,1.2762509003545,1.16278855694898,0.884353517351396,0.527483468692985,0.203539440415085,-0.0697365577705709,-0.296950710417809,-0.48270920208049,-0.631618217312435,-0.748283940667494,-0.837312556699512,-0.903310249962322,-0.950883205009771,-0.984637606395697,-1.00917963867394,-1.02911548639834
"Saa3",0.751902267570502,0.748142149597584,0.898932724084347,1.21264292078327,1.32216705607772,1.11377244963748,0.787571577242205,0.456169883214627,0.16331582664152,-0.0859433607525087,-0.295570848892836,-0.469529807704828,-0.611783407113857,-0.726294817045293,-0.817027207424507,-0.887943748176869,-0.943007609227747,-0.986181960502518,-1.02142997192655,-1.0527148134252
"Ramp1",0.681222257137185,0.736345478832614,0.803137927355113,0.895843180638032,1.03272433037189,1.13161511016211,1.02848870864012,0.767626108603983,0.486540678087973,0.211441772857693,-0.0582148366582861,-0.322973380031397,-0.583378086833065,-0.839973186634725,-1.0933029090078,-1.34391148352374,-1.59234313975394,-1.83914210726987,-2.08485261564293,-2.33001889444456
