"","l1.t.0.580472279743976","l1.t.0.473299333927341","l1.t.0.366126388110706","l1.t.0.258953442294071","l1.t.0.151780496477436","l1.t.0.0446075506608015","l1.t0.0625653951558334","l1.t0.169738340972468","l1.t0.276911286789103","l1.t0.384084232605738","l1.t0.491257178422373","l1.t0.598430124239008","l1.t0.705603070055643","l1.t0.812776015872277","l1.t0.919948961688912","l1.t1.02712190750555","l1.t1.13429485332218","l1.t1.24146779913882","l1.t1.34864074495545","l1.t1.45581369077209"
"Adamts10",0.989792907289098,0.891144720686439,0.76690864733832,0.59298941883928,0.343146833157659,-0.00556630726524687,-0.384795856904211,-0.645624592730969,-0.725107171006878,-0.727399539468255,-0.747292732561978,-0.797646308337318,-0.8763214135168,-0.981179194822939,-1.11008079897827,-1.26088737270531,-1.43146006272658,-1.61966001576462,-1.82334837854194,-2.04038629778106
"Adamtsl4",0.661903723111901,0.588288051618853,0.541437181026515,0.540498975946909,0.524092520515175,0.379054233570528,0.113917850042813,-0.153670671598552,-0.354677276997854,-0.518744642721848,-0.677383819143611,-0.835501603229826,-0.993134605870027,-1.15031943795377,-1.30709271037057,-1.46349103400999,-1.61955101976157,-1.77530927851485,-1.93080242115936,-2.08606705858465
"Amy1",1.61245687467091,1.43892426872473,1.26531817774145,1.0876780946272,0.848848670194354,0.460604904053422,-0.0257760709583735,-0.434762467449355,-0.674453453165224,-0.818526726835812,-0.938631523039518,-1.04657619367064,-1.1432145928881,-1.22940057485084,-1.30598799371781,-1.37383070364792,-1.43378255880012,-1.48669741333334,-1.53342912140653,-1.5748315371786
"Angpt4",0.535649931028891,0.408634151743733,0.281621183331693,0.1546133455632,0.0276087223468836,-0.0993975383904865,-0.22640788645494,-0.35342256053666,-0.480440684497662,-0.607459430029397,-0.734476462840983,-0.861491537932266,-0.988504792769563,-1.11551636481918,-1.24252639154744,-1.36953501042065,-1.49654235890511,-1.62354857446715,-1.75055379457308,-1.8775581566892
"Anpep",0.426060305342861,0.42136850434594,0.408963128303035,0.380289949102917,0.308507339876354,0.156617200174166,-0.0545312091876918,-0.252603519128955,-0.398351838905428,-0.518188866171964,-0.63821056815762,-0.7622183134981,-0.889932212016627,-1.02107237353641,-1.15535890788068,-1.29251192487264,-1.43225153433551,-1.57429784609251,-1.71837096996686,-1.86419101578176
"Apod",1.70351842078428,1.35991977429383,1.04771836358438,0.791212597264624,0.545335818515592,0.220724968224112,-0.161358684881249,-0.480669616022705,-0.676822958248702,-0.80861058697495,-0.931939037235656,-1.05544825748545,-1.17912555449959,-1.30295823505329,-1.42693360592181,-1.55103897388038,-1.67526164570425,-1.79958892816865,-1.92400812804883,-2.04850655212002
"Arap1",1.05499383380059,0.712194186083545,0.408456777042242,0.176027875196358,-0.0115909997930699,-0.219369641977098,-0.436628341089012,-0.584883846446084,-0.631875075321443,-0.636793816235355,-0.653187282998212,-0.688233970014397,-0.740624093960066,-0.809047871511371,-0.892195519344468,-0.988757254135512,-1.09742329256066,-1.21688385129606,-1.34582914701788,-1.48294939640226
"Atf3",0.935088969355913,0.855908946879795,0.763049714283343,0.642201832021828,0.458388001429092,0.166289110559926,-0.192612422593321,-0.499733351180152,-0.692245339392417,-0.817330230526222,-0.921296699205525,-1.01209204034298,-1.09064109817334,-1.15786871693132,-1.21469974085166,-1.2620590141691,-1.30087138111838,-1.33206168593423,-1.35655477285139,-1.37527548610458
"Bhlhe41",0.487499859369217,0.459395456623071,0.43614981207127,0.420131759832697,0.383957718615352,0.28065386323404,0.0995683178623878,-0.13712417798738,-0.402442099356959,-0.662524965314495,-0.891003398066062,-1.08579645148269,-1.24926943018798,-1.38378763880555,-1.49171638195898,-1.57542096427189,-1.63726669036789,-1.67961886487056,-1.70484279240352,-1.71530377759038
"C1ra",1.23604197104836,0.996672833257094,0.780314323515627,0.604199911054194,0.426873427802575,0.16969939143499,-0.146708619847974,-0.412984388999537,-0.573711601118255,-0.680852948655223,-0.783945626531496,-0.890452135524472,-1.00013276479568,-1.11274780350665,-1.22805754081891,-1.345822265894,-1.46580226789344,-1.58775783597876,-1.7114492593115,-1.83663682705319
